procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10340096  49452 379068    0    0  2683    66  484  807  5  8 82  5  0
 0  0      0 10349392  49452 379672    0    0     0     0  152  173  0  0 100  0  0
 0  0      0 10349392  49452 379672    0    0     0     0  147  274  1  1 99  0  0
 0  0      0 10349360  49452 379672    0    0     0     0  185  312  0  0 100  0  0
 1  0      0 10349360  49464 379660    0    0     0   152  188  328  0  0 99  0  0
 0  0      0 10349360  49464 379660    0    0     0    20  231  725  0  0 99  0  0
 0  0      0 10349360  49464 379672    0    0     0     0  169  509  0  0 100  0  0
 0  0      0 10349360  49464 379672    0    0     0     0  144  384  0  0 100  0  0
 0  0      0 10349784  49464 379668    0    0     0     0  242  470  0  1 99  0  0
 2  0      0 10349872  49464 379668    0    0     0     0  547 1440  1  0 99  0  0
 0  0      0 10349872  49472 379668    0    0     0   120  534 1138  0  1 99  0  0
 0  0      0 10349872  49472 379668    0    0     0     0  276  523  1  1 99  0  0
 0  0      0 10362000  49472 379640    0    0     0     0  356 1246  1  1 99  0  0
 0  0      0 10362128  49472 379608    0    0     0     0  265  592  1  0 99  0  0
 0  0      0 10362128  49472 379608    0    0     0     0  305  617  0  0 99  0  0
 0  0      0 10362128  49480 379608    0    0     0    44  321  744  1  1 99  0  0
 0  0      0 10362128  49480 379608    0    0     0     0  321  524  1  0 99  0  0
 1  0      0 10362128  49480 379608    0    0     0     0  594 1424  2  2 97  0  0
 1  0      0 10362128  49480 379608    0    0     0     0  435  987  1  1 98  0  0
 0  0      0 10362128  49480 379608    0    0     0     0  278  670  1  0 99  0  0
 4  0      0 10362128  49480 379608    0    0     0   496  214  284  0  1 99  1  0
 2  0      0 10362128  49480 379608    0    0     0     0  148  228  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10340096  49452 379068    0    0  2683    66  484  807  5  8 82  5  0
 0  0      0 10349392  49452 379672    0    0     0     0  152  173  0  0 100  0  0
 0  0      0 10349392  49452 379672    0    0     0     0  147  274  1  1 99  0  0
 0  0      0 10349360  49452 379672    0    0     0     0  185  312  0  0 100  0  0
 1  0      0 10349360  49464 379660    0    0     0   152  188  328  0  0 99  0  0
 0  0      0 10349360  49464 379660    0    0     0    20  231  725  0  0 99  0  0
 0  0      0 10349360  49464 379672    0    0     0     0  169  509  0  0 100  0  0
 0  0      0 10349360  49464 379672    0    0     0     0  144  384  0  0 100  0  0
 0  0      0 10349784  49464 379668    0    0     0     0  242  470  0  1 99  0  0
 2  0      0 10349872  49464 379668    0    0     0     0  547 1440  1  0 99  0  0
 0  0      0 10349872  49472 379668    0    0     0   120  534 1138  0  1 99  0  0
